frame,time_s,detected,px_x,px_y,pool_x_m,pool_y_m,speed_mps,orange_area_px2,cluster_contours,num_orange_candidates
76,2.535375005250998,False,nan,nan,nan,nan,nan,0.0,0,2
77,2.568735202688511,False,nan,nan,nan,nan,nan,0.0,0,2
78,2.602095400126024,False,nan,nan,nan,nan,nan,0.0,0,3
79,2.635455597563537,False,nan,nan,nan,nan,nan,0.0,0,4
80,2.6688157950010503,False,nan,nan,nan,nan,nan,0.0,0,3
81,2.7021759924385633,False,nan,nan,nan,nan,nan,0.0,0,3
82,2.7355361898760764,False,nan,nan,nan,nan,nan,0.0,0,2
83,2.76889638731359,False,nan,nan,nan,nan,nan,0.0,0,2
84,2.802256584751103,False,nan,nan,nan,nan,nan,0.0,0,3
85,2.835616782188616,False,nan,nan,nan,nan,nan,0.0,0,3
86,2.868976979626129,False,nan,nan,nan,nan,nan,0.0,0,4
87,2.902337177063642,False,nan,nan,nan,nan,nan,0.0,0,4
88,2.935697374501155,False,nan,nan,nan,nan,nan,0.0,0,3
89,2.9690575719386687,False,nan,nan,nan,nan,nan,0.0,0,2
90,3.0024177693761818,False,nan,nan,nan,nan,nan,0.0,0,3
91,3.035777966813695,False,nan,nan,nan,nan,nan,0.0,0,3
92,3.069138164251208,False,nan,nan,nan,nan,nan,0.0,0,4
93,3.102498361688721,False,nan,nan,nan,nan,nan,0.0,0,3
94,3.135858559126234,False,nan,nan,nan,nan,nan,0.0,0,4
95,3.169218756563747,False,nan,nan,nan,nan,nan,0.0,0,3
96,3.2025789540012606,False,nan,nan,nan,nan,nan,0.0,0,4
97,3.2359391514387736,False,nan,nan,nan,nan,nan,0.0,0,3
98,3.2692993488762867,False,nan,nan,nan,nan,nan,0.0,0,4
99,3.3026595463137998,False,nan,nan,nan,nan,nan,0.0,0,4
100,3.336019743751313,False,nan,nan,nan,nan,nan,0.0,0,4
101,3.369379941188826,False,nan,nan,nan,nan,nan,0.0,0,3
102,3.402740138626339,False,nan,nan,nan,nan,nan,0.0,0,4
103,3.4361003360638525,False,nan,nan,nan,nan,nan,0.0,0,3
104,3.4694605335013655,False,nan,nan,nan,nan,nan,0.0,0,3
105,3.5028207309388786,False,nan,nan,nan,nan,nan,0.0,0,2
106,3.5361809283763916,False,nan,nan,nan,nan,nan,0.0,0,4
107,3.5695411258139047,False,nan,nan,nan,nan,nan,0.0,0,4
108,3.6029013232514178,False,nan,nan,nan,nan,nan,0.0,0,4
109,3.6362615206889313,False,nan,nan,nan,nan,nan,0.0,0,4
110,3.6696217181264443,False,nan,nan,nan,nan,nan,0.0,0,2
111,3.7029819155639574,False,nan,nan,nan,nan,nan,0.0,0,4
112,3.7363421130014705,False,nan,nan,nan,nan,nan,0.0,0,3
113,3.7697023104389835,False,nan,nan,nan,nan,nan,0.0,0,3
